,,0
ufsr_total_area_of_end_regions,fatr_total_radius_of_end_regions,-0.7307295404964106
fatr_total_radius_of_end_regions,ufsr_total_area_of_end_regions,-0.7307295404964106
cfpl_area_of_end_region_2,fatl_elongation,-0.730595970875763
fatl_elongation,cfpl_area_of_end_region_2,-0.730595970875763
fatl_irregularity_of_end_region_1,cfpl_irregularity,-0.7305140788209232
cfpl_irregularity,fatl_irregularity_of_end_region_1,-0.7305140788209232
slfl_irregularity_of_end_region_1,slfl_diameter,-0.7298871017474079
slfl_diameter,slfl_irregularity_of_end_region_1,-0.7298871017474079
cfpr_volume,fatr_curl,-0.7297200655578617
fatr_curl,cfpr_volume,-0.7297200655578617
cfpl_diameter,fatr_irregularity_of_end_region_1,-0.7294869607533266
fatr_irregularity_of_end_region_1,cfpl_diameter,-0.7294869607533266
fatr_curl,cfpr_number_of_tracts,-0.7289229780331562
cfpr_number_of_tracts,fatr_curl,-0.7289229780331562
afsr_total_surface_area,afsr_elongation,-0.7274992666692743
afsr_elongation,afsr_total_surface_area,-0.7274992666692743
slfl_irregularity_of_end_region_2,slfl_total_area_of_end_regions,-0.7261556004155655
slfl_total_area_of_end_regions,slfl_irregularity_of_end_region_2,-0.7261556004155655
slfl_elongation,slfl_area_of_end_region_1,-0.7256122578304911
slfl_area_of_end_region_1,slfl_elongation,-0.7256122578304911
slfr_elongation,afsl_irregularity,-0.7237404925055108
afsl_irregularity,slfr_elongation,-0.7237404925055108
ufsl_curl,ufsl_span,-0.7236880599665241
ufsl_span,ufsl_curl,-0.7236880599665241
cfpr_irregularity_of_end_region_1,cfpl_volume,-0.7230512570018505
cfpl_volume,cfpr_irregularity_of_end_region_1,-0.7230512570018505
slfl_irregularity_of_end_region_2,slfl_volume,-0.7229310638198457
slfl_volume,slfl_irregularity_of_end_region_2,-0.7229310638198457
fatl_span,fatl_irregularity_of_end_region_1,-0.7228313077843842
fatl_irregularity_of_end_region_1,fatl_span,-0.7228313077843842
slfl_irregularity_of_end_region_1,slfl_total_area_of_end_regions,-0.7225737256890041
slfl_total_area_of_end_regions,slfl_irregularity_of_end_region_1,-0.7225737256890041
afsr_number_of_tracts,afsr_elongation,-0.7225153181241858
afsr_elongation,afsr_number_of_tracts,-0.7225153181241858
cfpr_irregularity_of_end_region_2,cfpl_volume,-0.7217217721250844
cfpl_volume,cfpr_irregularity_of_end_region_2,-0.7217217721250844
cfpl_total_radius_of_end_regions,fatr_irregularity_of_end_region_2,-0.7215388231017682
fatr_irregularity_of_end_region_2,cfpl_total_radius_of_end_regions,-0.7215388231017682
afsr_rd,afsr_dti_fa,-0.7210050179798215
afsr_dti_fa,afsr_rd,-0.7210050179798215
cfpl_total_surface_area,fatl_curl,-0.7209017023942087
fatl_curl,cfpl_total_surface_area,-0.7209017023942087
cfpr_irregularity_of_end_region_1,fatr_dti_fa,-0.720205768962395
fatr_dti_fa,cfpr_irregularity_of_end_region_1,-0.720205768962395
cfpl_elongation,cfpl_rdi,-0.7191570842390821
cfpl_rdi,cfpl_elongation,-0.7191570842390821
