,,0
cfpr_iso,ufsl_iso,0.9312075554656234
ufsl_iso,cfpr_iso,0.9312075554656234
cfpr_iso,fatr_iso,0.9384253488509045
fatr_iso,cfpr_iso,0.9384253488509045
ufsl_iso,ufsr_qa,0.9406764085389454
ufsr_qa,ufsl_iso,0.9406764085389454
cfpr_iso,ufsr_iso,0.9423243277363356
ufsr_iso,cfpr_iso,0.9423243277363356
fatr_qa,ufsr_qa,0.9453665300044618
ufsr_qa,fatr_qa,0.9453665300044618
ufsr_qa,cfpr_iso,0.9463617921402492
cfpr_iso,ufsr_qa,0.9463617921402492
fatr_qa,ufsl_qa,0.9482418133013855
ufsl_qa,fatr_qa,0.9482418133013855
cfpr_volume,cfpr_total_area_of_end_regions,0.9493960118943311
cfpr_total_area_of_end_regions,cfpr_volume,0.9493960118943311
ufsl_volume,ufsl_total_surface_area,0.9495278626833017
ufsl_total_surface_area,ufsl_volume,0.9495278626833017
fatr_qa,cfpr_qa,0.9508410654572079
cfpr_qa,fatr_qa,0.9508410654572079
ufsr_total_surface_area,ufsr_volume,0.9528701875291921
ufsr_volume,ufsr_total_surface_area,0.9528701875291921
cfpr_qa,cfpr_iso,0.960010914507086
cfpr_iso,cfpr_qa,0.960010914507086
ufsr_qa,ufsl_qa,0.9628744203906044
ufsl_qa,ufsr_qa,0.9628744203906044
cfpr_total_area_of_end_regions,cfpr_number_of_tracts,0.9662840599361218
cfpr_number_of_tracts,cfpr_total_area_of_end_regions,0.9662840599361218
cfpr_total_surface_area,cfpr_volume,0.9701836526715949
cfpr_volume,cfpr_total_surface_area,0.9701836526715949
fatr_total_area_of_end_regions,fatr_area_of_end_region_1,0.9705461727077713
fatr_area_of_end_region_1,fatr_total_area_of_end_regions,0.9705461727077713
fatr_diameter,fatr_volume,0.9713722195392311
fatr_volume,fatr_diameter,0.9713722195392311
ufsl_qa,cfpr_qa,0.972016311648188
cfpr_qa,ufsl_qa,0.972016311648188
cfpr_qa,ufsr_qa,0.9735355965028907
ufsr_qa,cfpr_qa,0.9735355965028907
ufsl_iso,ufsr_iso,0.9761861726442759
ufsr_iso,ufsl_iso,0.9761861726442759
cfpr_span,cfpr_mean_length,0.9834989846012385
cfpr_mean_length,cfpr_span,0.9834989846012385
cfpr_irregularity_of_end_region_1,cfpr_irregularity_of_end_region_2,0.9961793338405062
cfpr_irregularity_of_end_region_2,cfpr_irregularity_of_end_region_1,0.9961793338405062
ufsl_number_of_tracts,ufsl_number_of_tracts,1.0
ufsr_irregularity_of_end_region_2,ufsr_irregularity_of_end_region_2,1.0
cfpr_mean_length,cfpr_mean_length,1.0
cfpr_span,cfpr_span,1.0
cfpr_curl,cfpr_curl,1.0
cfpr_elongation,cfpr_elongation,1.0
cfpr_diameter,cfpr_diameter,1.0
cfpr_volume,cfpr_volume,1.0
cfpr_branch_volume,cfpr_branch_volume,1.0
cfpr_number_of_tracts,cfpr_number_of_tracts,1.0
cfpr_total_surface_area,cfpr_total_surface_area,1.0
cfpr_total_area_of_end_regions,cfpr_total_area_of_end_regions,1.0
cfpr_irregularity,cfpr_irregularity,1.0
cfpr_area_of_end_region_1,cfpr_area_of_end_region_1,1.0
cfpr_radius_of_end_region_1,cfpr_radius_of_end_region_1,1.0
cfpr_irregularity_of_end_region_1,cfpr_irregularity_of_end_region_1,1.0
cfpr_area_of_end_region_2,cfpr_area_of_end_region_2,1.0
cfpr_radius_of_end_region_2,cfpr_radius_of_end_region_2,1.0
cfpr_total_radius_of_end_regions,cfpr_total_radius_of_end_regions,1.0
cfpr_irregularity_of_end_region_2,cfpr_irregularity_of_end_region_2,1.0
ufsl_iso,ufsl_iso,1.0
ufsl_irregularity_of_end_region_2,ufsl_irregularity_of_end_region_2,1.0
ufsl_mean_length,ufsl_mean_length,1.0
ufsl_span,ufsl_span,1.0
ufsl_curl,ufsl_curl,1.0
ufsl_elongation,ufsl_elongation,1.0
ufsl_diameter,ufsl_diameter,1.0
ufsl_volume,ufsl_volume,1.0
ufsl_branch_volume,ufsl_branch_volume,1.0
ufsl_qa,ufsl_qa,1.0
ufsl_total_surface_area,ufsl_total_surface_area,1.0
ufsl_total_area_of_end_regions,ufsl_total_area_of_end_regions,1.0
ufsl_irregularity,ufsl_irregularity,1.0
ufsl_area_of_end_region_1,ufsl_area_of_end_region_1,1.0
ufsl_radius_of_end_region_1,ufsl_radius_of_end_region_1,1.0
ufsl_irregularity_of_end_region_1,ufsl_irregularity_of_end_region_1,1.0
ufsl_area_of_end_region_2,ufsl_area_of_end_region_2,1.0
ufsl_radius_of_end_region_2,ufsl_radius_of_end_region_2,1.0
ufsl_total_radius_of_end_regions,ufsl_total_radius_of_end_regions,1.0
ufsr_qa,ufsr_qa,1.0
cfpr_qa,cfpr_qa,1.0
fatr_number_of_tracts,fatr_number_of_tracts,1.0
ufsr_mean_length,ufsr_mean_length,1.0
ufsr_span,ufsr_span,1.0
ufsr_curl,ufsr_curl,1.0
ufsr_elongation,ufsr_elongation,1.0
ufsr_diameter,ufsr_diameter,1.0
ufsr_volume,ufsr_volume,1.0
ufsr_branch_volume,ufsr_branch_volume,1.0
ufsr_number_of_tracts,ufsr_number_of_tracts,1.0
ufsr_total_surface_area,ufsr_total_surface_area,1.0
ufsr_total_area_of_end_regions,ufsr_total_area_of_end_regions,1.0
ufsr_irregularity,ufsr_irregularity,1.0
ufsr_area_of_end_region_1,ufsr_area_of_end_region_1,1.0
ufsr_radius_of_end_region_1,ufsr_radius_of_end_region_1,1.0
ufsr_irregularity_of_end_region_1,ufsr_irregularity_of_end_region_1,1.0
ufsr_area_of_end_region_2,ufsr_area_of_end_region_2,1.0
ufsr_radius_of_end_region_2,ufsr_radius_of_end_region_2,1.0
ufsr_total_radius_of_end_regions,ufsr_total_radius_of_end_regions,1.0
cfpr_iso,cfpr_iso,1.0
fatr_iso,fatr_iso,1.0
fatr_irregularity_of_end_region_2,fatr_irregularity_of_end_region_2,1.0
fatr_mean_length,fatr_mean_length,1.0
fatr_span,fatr_span,1.0
fatr_curl,fatr_curl,1.0
fatr_elongation,fatr_elongation,1.0
fatr_diameter,fatr_diameter,1.0
fatr_volume,fatr_volume,1.0
fatr_branch_volume,fatr_branch_volume,1.0
fatr_qa,fatr_qa,1.0
fatr_total_surface_area,fatr_total_surface_area,1.0
fatr_total_area_of_end_regions,fatr_total_area_of_end_regions,1.0
fatr_irregularity,fatr_irregularity,1.0
fatr_area_of_end_region_1,fatr_area_of_end_region_1,1.0
fatr_radius_of_end_region_1,fatr_radius_of_end_region_1,1.0
fatr_irregularity_of_end_region_1,fatr_irregularity_of_end_region_1,1.0
fatr_area_of_end_region_2,fatr_area_of_end_region_2,1.0
fatr_radius_of_end_region_2,fatr_radius_of_end_region_2,1.0
fatr_total_radius_of_end_regions,fatr_total_radius_of_end_regions,1.0
ufsr_iso,ufsr_iso,1.0
