0,N
,sub-50014_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	10746,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	84.1078,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	34.004,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.47347,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.07442,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	20.6429,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	28149.3,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	28043.5,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	105.762,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	42598.5,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	20.6393,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	4889.52,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	7.80975,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	3063.17,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	12.8632,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.169699,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1826.35,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	7.77602,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.104011,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.175572,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.423282,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.806629,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.17067,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.624609,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.527358,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.306431,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.392971,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.154328,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0237901,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50015_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	9545,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	84.5274,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	30.7435,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.74944,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	5.11395,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	16.5288,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	18137.2,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	17097.2,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	1039.99,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	26807.7,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	17.2895,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	3194.4,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	6.1076,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1795.01,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	9.40907,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.154944,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1399.38,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	7.88041,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.139415,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.179958,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.413707,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.881973,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.2592,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.693358,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.546691,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.31573,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.405661,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.159679,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0249236,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50020_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	4916,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	72.736,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	25.7105,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.82904,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	5.2616,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	13.8239,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	10917,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	8370.84,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	2546.12,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	21138.6,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	17.4349,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	1997.72,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	6.69185,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	868.617,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	9.65289,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.337005,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1129.1,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	7.78205,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.168501,sub-50021_dwi.Frontal_Aslant_Tract_R.stat.txt	18
