0,N
total area of end regions(mm^2)	3598.84,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.73445,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	2932.93,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	12.9501,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.179636,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	665.907,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	5.58153,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.146975,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.18552,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.44509,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.79296,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.16028,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.609301,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.523116,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.30858,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.395546,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.155253,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0238602,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50013_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	9880,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	132.045,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	30.5509,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	4.32212,sub-50014_dwi.Arcuate_Fasciculus_L.stat.txt	3
