0,N
,sub-10235_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	3045,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	39.2988,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	11.5529,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	3.40165,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	2.49541,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	15.7484,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	7654.99,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	5618.1,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	2036.89,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	13618.8,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	15.8903,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	1522.77,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	7.0044,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	760.897,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	8.04521,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.267239,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	761.876,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	7.84508,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.253782,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.0959539,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.256646,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.958445,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.19659,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.83937,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.397103,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.25448,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.326963,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.1287,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.0200888,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-10269_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	2995,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	44.1313,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	11.4881,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	3.84147,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	2.96105,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	14.9039,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	7699.06,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	5242.06,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	2457,sub-10271_dwi.Uncinate_Fasciculus_L.stat.txt	8
