0,N
span(mm)	22.051,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	3.46985,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	5.03149,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	15.207,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	13896.9,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	9497.01,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	4399.88,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	25407.3,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	16.3724,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	2252.33,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	6.95063,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1725.48,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	9.47781,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.163552,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	526.85,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	6.89458,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.283451,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.228141,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.421802,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.8292,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.199,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.644303,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.57911,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.392056,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.503136,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.197764,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0306308,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-10225_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	7499,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	71.3336,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	26.3701,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.70509,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.1186,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	17.3199,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	16806.3,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	14497.2,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	2309.13,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	31506.2,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	19.124,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	3343.25,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	8.11723,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1292.64,sub-10227_dwi.Frontal_Aslant_Tract_R.stat.txt	13
