0,N
nrdi02L	0.340417,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.133584,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0205037,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10227_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	6773,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	109.148,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	30.7014,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.55514,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	8.18697,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	13.3319,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	15236.5,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	13782.3,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	1454.22,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	29443.9,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	19.5162,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	2236.66,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.4408,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	1060.55,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	10.2433,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.310813,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	1176.11,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	9.27291,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.229686,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.262456,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.450292,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.84927,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.28211,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.632851,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.573839,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.395705,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.507551,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.199371,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0307716,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10228_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	270,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	110.499,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	32.3782,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.41275,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	21.9056,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	5.04431,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	2208.27,sub-10235_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
