0,N
irregularity	7.30573,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	1295.58,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	9.7653,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.231237,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	897.016,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	8.66099,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.262715,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.166798,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.391261,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.884451,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.21017,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.72159,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.45151,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.304836,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.391713,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.154211,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0240892,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10273_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	207,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	70.2773,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	19.6935,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.56855,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	11.2667,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	6.23762,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	2147.55,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	540.56,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	1606.99,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	7787.2,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	18.1242,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	176.27,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	5.65454,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	65.6114,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	10.6406,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	5.4213,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	110.658,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	7.48361,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	1.58997,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.0940937,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.420492,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.755994,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.09735,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.585315,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.247,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.167609,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.214632,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.0841417,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0128453,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10274_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
number of tracts	883,sub-10280_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
