0,N
area of end region 2(mm^2)	1759.76,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	10.49,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.196449,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.232776,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.444239,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.808645,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.20432,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.610806,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.536275,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.368446,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.472331,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.185414,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0285144,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10228_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	7952,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	81.5765,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	30.8081,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.64789,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.90525,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	16.6305,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	17720,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	17614.2,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	105.762,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	30204.8,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	16.3715,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	2711.61,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.0869,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1113.44,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	6.6698,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.125519,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1598.18,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	9.70173,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.185022,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.218155,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.38552,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.84529,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.18243,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.676722,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.601043,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.403063,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.51728,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.203333,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0315006,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10235_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8268,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	79.2254,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	29.6324,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.6736,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.25164,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	18.6341,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	21605.7,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	20923.2,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	682.555,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	36223.4,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	18.2908,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	4088.47,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.81029,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1468.91,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	7.13696,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.108938,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	2619.56,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	11.1538,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.1492,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.113012,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.414156,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.888383,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.24919,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.707981,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.296621,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.199314,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.256253,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.100948,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0158246,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10269_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8134,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	79.5441,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	29.7227,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.67621,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.6181,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	17.2244,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	18534.7,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	15847.6,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	2687.13,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	32243.6,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	18.8479,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3559.67,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.49103,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1354.34,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	9.53266,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.21079,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	2205.33,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	9.31527,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.123614,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.106102,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.432723,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.801735,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.17667,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.614267,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.267776,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.180994,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.232039,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.0910935,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0140143,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10271_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8157,sub-10273_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	83.8008,sub-10273_dwi.Frontal_Aslant_Tract_L.stat.txt	1
