0,N
qa	0.123791,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.431684,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.827854,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.20414,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.639713,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.298406,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.203829,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.261448,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.102703,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0158544,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-10269_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	11525,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	103.887,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	23.3664,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	4.446,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	6.15453,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	16.8798,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	23248,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	21469.6,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	1778.36,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	36350.7,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	16.9662,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	3656.61,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.59833,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	2629.35,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	10.8327,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.140209,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1027.26,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	6.13347,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.115049,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.126278,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.476376,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.778327,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.19061,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.572185,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.277998,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.19264,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.246777,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.0967877,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.014813,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-10271_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	13125,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	109.078,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	23.3716,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	4.66712,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	6.89173,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	15.8274,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	21460.8,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	11686.7,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	9774.15,sub-10273_dwi.Arcuate_Fasciculus_L.stat.txt	8
