0,N
md	0.873345,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.2117,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.704167,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.637089,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.432049,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.554599,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.218059,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0338296,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10235_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	10145,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	96.6538,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	24.4479,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.95346,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	6.03914,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	16.0046,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	19444.5,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	14712.6,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	4731.86,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	30378.1,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	18.5347,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2992.66,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	6.25098,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1554.11,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	11.519,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.268226,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	1438.56,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	7.01561,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.107487,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.132105,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.436028,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.796826,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.16788,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.611301,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.331237,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.225548,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.289151,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.113511,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0174604,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10269_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	12035,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	115.539,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	31.078,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	2
